right x, right y, right size, left x, left y, left size
3.147705,8.651123,34.796875,7.852539,7.685303,35.824219
3.150635,8.648682,34.812500,7.850830,7.683838,35.824219
3.150391,8.654785,34.808594,7.854736,7.681152,35.808594
3.153076,8.659668,34.800781,7.856934,7.679932,35.808594
3.152100,8.659180,34.804688,7.857178,7.681885,35.816406
3.155518,8.658936,34.796875,7.858887,7.685547,35.832031
3.150879,8.667236,34.792969,7.856934,7.683105,35.824219
3.156006,8.666992,34.789062,7.858887,7.682617,35.816406
3.155518,8.663086,34.785156,7.861816,7.684082,35.812500
3.158691,8.666992,34.777344,7.867432,7.682129,35.800781
3.158691,8.663330,34.769531,7.861084,7.681885,35.804688
3.157959,8.662354,34.777344,7.858887,7.682373,35.796875
3.156738,8.665771,34.785156,7.860107,7.684814,35.808594
3.158203,8.667725,34.777344,7.858398,7.688965,35.816406
3.159424,8.669189,34.773438,7.861572,7.687988,35.808594
3.149902,8.670166,34.781250,7.864014,7.687988,35.816406
3.149658,8.671631,34.777344,7.862061,7.688477,35.824219
3.150391,8.673584,34.773438,7.860840,7.687256,35.812500
3.156494,8.675049,34.769531,7.862549,7.688232,35.820312
3.155518,8.675293,34.777344,7.864014,7.688232,35.824219
3.161133,8.674561,34.769531,7.864502,7.692383,35.824219
3.158691,8.673828,34.777344,7.860107,7.691162,35.820312
3.157959,8.673096,34.785156,7.861572,7.694580,35.832031
3.156494,8.674072,34.777344,7.861084,7.694092,35.839844
3.160156,8.673096,34.781250,7.859375,7.693848,35.851562
3.163086,8.675049,34.773438,7.859619,7.694580,35.855469
3.166016,8.679932,34.773438,7.857910,7.693848,35.867188
3.160889,8.680420,34.765625,7.856445,7.697998,35.878906
3.161377,8.679688,34.761719,7.857666,7.699951,35.886719
3.163818,8.679932,34.753906,7.849854,7.702881,35.878906
3.162109,8.679688,34.750000,7.850830,7.710449,35.875000
3.161133,8.678223,34.750000,7.848633,7.713379,35.878906
3.160645,8.680176,34.742188,7.842773,7.717773,35.871094
3.161377,8.679199,34.750000,7.841797,7.721191,35.878906
3.152344,8.679932,34.757812,7.843750,7.724121,35.882812
3.158203,8.681396,34.746094,7.844727,7.727783,35.886719
3.163330,8.682373,34.746094,7.847656,7.730225,35.882812
3.159668,8.683838,34.753906,7.847656,7.732178,35.890625
